language,category,item,document,release,status
EN,MaxiCharger AC,Compact,User Manual,2023-03-02,verified
EN,MaxiCharger AC,Compact,Quick Guide,2023-02-15,verified
EN,MaxiCharger AC,Ultra,User Manual,2023-07-06,verified
EN,MaxiCharger AC,Ultra,Quick Guide,2023-03-30,verified
EN,MaxiCharger AC,Wallbox,Quick Guide,2023-05-23,verified
EN,MaxiCharger AC,Wallbox Pedestal EP,Quick Guide,2023-05-12,verified
EN,MaxiCharger AC,Wallbox,Installation and Operation Manual,2023-07-17,verified
EN,MaxiCharger AC,Pedestal,Quick Guide,2023-02-23,verified
EN,MaxiCharger AC,,Maintenance Manual,2022-02-24,verified
EN,MaxiCharger DC,Compact,Installation and Operation Manual,2023-05-05,verified
EN,MaxiCharger DC,Compact,Service Manual,2023-04-13,verified
EN,MaxiCharger DC,Fast,Installation and Operation Manual,2023-05-17,verified
EN,MaxiCharger DC,Fast,Service Manual,2023-04-13,verified
EN,MaxiCharger DC,Fast CMS,Quick Guide,,missing
EN,Energy Management System,,Operation and Installation Manual,2023-05-25,verified
