language,category,item,document,release,status
DE,MaxiCharger AC,Wallbox,Installation and Operation Manual,,missing
DE,MaxiCharger AC,Wallbox,Quick Guide,,missing
DE,MaxiCharger AC,Wallbox Pedestal EP,Quick Guide,,missing
DE,MaxiCharger AC,Wallbox Pedestal,Quick Guide,,missing
DE,MaxiCharger AC,Compact,User Manual,,missing
DE,MaxiCharger AC,Compact,Quick Guide,,missing
DE,MaxiCharger AC,Ultra,User Manual,,missing
DE,MaxiCharger AC,Ultra,Quick Guide,,missing
DE,MaxiCharger AC,Pedestal ASP,Quick Guide,,missing
DE,MaxiCharger AC,,Maintenance Manual,,missing
DE,MaxiCharger DC,Fast,Installation and Operation Manual,,missing
DE,MaxiCharger DC,Fast,Service Manual,,missing
DE,MaxiCharger DC,Fast CMS,Quick Guide,,missing
DE,MaxiCharger DC,Compact,Installation and Operation Manual,,missing
DE,MaxiCharger DC,Compact,Service Manual,,missing
DE,Energy Management System,,Operation and Installation Manual,,missing
